,date,unit_sales,national_holiday,day_type,day_category
0,2013-01-02,582.0,no,weekday,weekday
1,2013-01-03,310.0,no,weekday,weekday
2,2013-01-04,338.0,no,weekday,weekday
3,2013-01-05,654.0,yes!,weekend,holiday (weekend)
4,2013-01-06,979.0,no,weekend,weekend
5,2013-01-07,541.0,no,weekday,weekday
6,2013-01-08,434.0,no,weekday,weekday
7,2013-01-09,593.0,no,weekday,weekday
8,2013-01-10,700.0,no,weekday,weekday
9,2013-01-11,726.0,no,weekday,weekday
10,2013-01-12,631.0,yes!,weekend,holiday (weekend)
11,2013-01-13,679.0,no,weekend,weekend
12,2013-01-14,683.0,no,weekday,weekday
13,2013-01-15,547.0,no,weekday,weekday
14,2013-01-16,265.0,no,weekday,weekday
15,2013-01-17,4.0,no,weekday,weekday
16,2013-01-18,60.0,no,weekday,weekday
17,2013-01-19,667.0,no,weekend,weekend
18,2013-01-20,1090.0,no,weekend,weekend
19,2013-01-21,760.0,no,weekday,weekday
20,2013-01-22,461.0,no,weekday,weekday
21,2013-01-23,413.0,no,weekday,weekday
22,2013-01-24,326.0,no,weekday,weekday
23,2013-01-25,389.0,no,weekday,weekday
24,2013-01-26,697.0,no,weekend,weekend
25,2013-01-27,616.0,no,weekend,weekend
26,2013-01-28,318.0,no,weekday,weekday
27,2013-01-29,393.0,no,weekday,weekday
28,2013-01-30,487.0,no,weekday,weekday
29,2013-01-31,282.0,no,weekday,weekday
30,2013-02-01,401.0,no,weekday,weekday
31,2013-02-02,775.0,no,weekend,weekend
32,2013-02-03,855.0,no,weekend,weekend
33,2013-02-04,411.0,no,weekday,weekday
34,2013-02-05,272.0,no,weekday,weekday
35,2013-02-06,461.0,no,weekday,weekday
36,2013-02-07,397.0,no,weekday,weekday
37,2013-02-08,226.0,no,weekday,weekday
38,2013-02-09,377.0,no,weekend,weekend
39,2013-02-10,356.0,no,weekend,weekend
40,2013-02-11,407.0,yes!,weekday,holiday (weekday)
41,2013-02-12,469.0,yes!,weekday,holiday (weekday)
42,2013-02-13,277.0,no,weekday,weekday
43,2013-02-14,280.0,no,weekday,weekday
44,2013-02-15,304.0,no,weekday,weekday
45,2013-02-16,576.0,no,weekend,weekend
46,2013-02-17,395.0,no,weekend,weekend
47,2013-02-18,417.0,no,weekday,weekday
48,2013-02-19,244.0,no,weekday,weekday
49,2013-02-20,339.0,no,weekday,weekday
50,2013-02-21,457.0,no,weekday,weekday
51,2013-02-22,186.0,no,weekday,weekday
52,2013-02-23,497.0,no,weekend,weekend
53,2013-02-24,509.0,no,weekend,weekend
54,2013-02-25,441.0,no,weekday,weekday
55,2013-02-26,550.0,no,weekday,weekday
56,2013-02-27,388.0,no,weekday,weekday
57,2013-02-28,316.0,no,weekday,weekday
58,2013-03-01,305.0,no,weekday,weekday
59,2013-03-02,627.0,no,weekend,weekend
60,2013-03-03,853.0,no,weekend,weekend
61,2013-03-04,554.0,no,weekday,weekday
62,2013-03-05,487.0,no,weekday,weekday
63,2013-03-06,458.0,no,weekday,weekday
64,2013-03-07,566.0,no,weekday,weekday
65,2013-03-08,361.0,no,weekday,weekday
66,2013-03-09,549.0,no,weekend,weekend
67,2013-03-10,591.0,no,weekend,weekend
68,2013-03-11,296.0,no,weekday,weekday
69,2013-03-12,213.0,no,weekday,weekday
70,2013-03-13,620.0,no,weekday,weekday
71,2013-03-14,388.0,no,weekday,weekday
72,2013-03-15,240.0,no,weekday,weekday
73,2013-03-16,779.0,no,weekend,weekend
74,2013-03-17,695.0,no,weekend,weekend
75,2013-03-18,465.0,no,weekday,weekday
76,2013-03-19,418.0,no,weekday,weekday
77,2013-03-20,522.0,no,weekday,weekday
78,2013-03-21,241.0,no,weekday,weekday
79,2013-03-22,353.0,no,weekday,weekday
80,2013-03-23,544.0,no,weekend,weekend
81,2013-03-24,529.0,no,weekend,weekend
82,2013-03-25,413.0,no,weekday,weekday
83,2013-03-26,300.0,no,weekday,weekday
84,2013-03-27,353.0,no,weekday,weekday
85,2013-03-28,594.0,no,weekday,weekday
86,2013-03-29,575.0,no,weekday,weekday
87,2013-03-30,577.0,no,weekend,weekend
88,2013-03-31,643.0,no,weekend,weekend
89,2013-04-01,431.0,no,weekday,weekday
90,2013-04-02,527.0,no,weekday,weekday
91,2013-04-03,463.0,no,weekday,weekday
92,2013-04-04,305.0,no,weekday,weekday
93,2013-04-05,415.0,no,weekday,weekday
94,2013-04-06,972.0,no,weekend,weekend
95,2013-04-07,936.0,no,weekend,weekend
96,2013-04-08,369.0,no,weekday,weekday
97,2013-04-09,458.0,no,weekday,weekday
98,2013-04-10,386.0,no,weekday,weekday
99,2013-04-11,235.0,no,weekday,weekday
100,2013-04-12,358.0,no,weekday,weekday
101,2013-04-13,789.0,no,weekend,weekend
102,2013-04-14,506.0,no,weekend,weekend
103,2013-04-15,413.0,no,weekday,weekday
104,2013-04-16,372.0,no,weekday,weekday
105,2013-04-17,400.0,no,weekday,weekday
106,2013-04-18,283.0,no,weekday,weekday
107,2013-04-19,376.0,no,weekday,weekday
108,2013-04-20,647.0,no,weekend,weekend
109,2013-04-21,683.0,no,weekend,weekend
110,2013-04-22,408.0,no,weekday,weekday
111,2013-04-23,400.0,no,weekday,weekday
112,2013-04-24,493.0,no,weekday,weekday
113,2013-04-25,219.0,no,weekday,weekday
114,2013-04-26,491.0,no,weekday,weekday
115,2013-04-27,755.0,no,weekend,weekend
116,2013-04-28,719.0,no,weekend,weekend
117,2013-04-29,411.0,yes!,weekday,holiday (weekday)
118,2013-04-30,369.0,no,weekday,weekday
119,2013-05-01,705.0,yes!,weekday,holiday (weekday)
120,2013-05-02,327.0,no,weekday,weekday
121,2013-05-03,350.0,no,weekday,weekday
122,2013-05-04,774.0,no,weekend,weekend
123,2013-05-05,715.0,no,weekend,weekend
124,2013-05-06,416.0,no,weekday,weekday
125,2013-05-07,351.0,no,weekday,weekday
126,2013-05-08,418.0,no,weekday,weekday
127,2013-05-09,323.0,no,weekday,weekday
128,2013-05-10,318.0,no,weekday,weekday
129,2013-05-11,666.0,yes!,weekend,holiday (weekend)
130,2013-05-12,548.0,yes!,weekend,holiday (weekend)
131,2013-05-13,331.0,no,weekday,weekday
132,2013-05-14,409.0,no,weekday,weekday
133,2013-05-15,471.0,no,weekday,weekday
134,2013-05-16,252.0,no,weekday,weekday
135,2013-05-17,423.0,no,weekday,weekday
136,2013-05-18,600.0,no,weekend,weekend
137,2013-05-19,758.0,no,weekend,weekend
138,2013-05-20,399.0,no,weekday,weekday
139,2013-05-21,444.0,no,weekday,weekday
140,2013-05-22,455.0,no,weekday,weekday
141,2013-05-23,372.0,no,weekday,weekday
142,2013-05-24,532.0,yes!,weekday,holiday (weekday)
143,2013-05-25,392.0,no,weekend,weekend
144,2013-05-26,532.0,no,weekend,weekend
145,2013-05-27,291.0,no,weekday,weekday
146,2013-05-28,293.0,no,weekday,weekday
147,2013-05-29,420.0,no,weekday,weekday
148,2013-05-30,271.0,no,weekday,weekday
149,2013-05-31,488.0,no,weekday,weekday
150,2013-06-01,777.0,no,weekend,weekend
151,2013-06-02,656.0,no,weekend,weekend
152,2013-06-03,462.0,no,weekday,weekday
153,2013-06-04,370.0,no,weekday,weekday
154,2013-06-05,459.0,no,weekday,weekday
155,2013-06-06,280.0,no,weekday,weekday
156,2013-06-07,466.0,no,weekday,weekday
157,2013-06-08,904.0,no,weekend,weekend
158,2013-06-09,794.0,no,weekend,weekend
159,2013-06-10,511.0,no,weekday,weekday
160,2013-06-11,305.0,no,weekday,weekday
161,2013-06-12,475.0,no,weekday,weekday
162,2013-06-13,406.0,no,weekday,weekday
163,2013-06-14,470.0,no,weekday,weekday
164,2013-06-15,747.0,no,weekend,weekend
165,2013-06-16,481.0,no,weekend,weekend
166,2013-06-17,424.0,no,weekday,weekday
167,2013-06-18,560.0,no,weekday,weekday
168,2013-06-19,361.0,no,weekday,weekday
169,2013-06-20,335.0,no,weekday,weekday
170,2013-06-21,473.0,no,weekday,weekday
171,2013-06-22,502.0,no,weekend,weekend
172,2013-06-23,770.0,no,weekend,weekend
173,2013-06-24,484.0,no,weekday,weekday
174,2013-06-25,345.0,no,weekday,weekday
175,2013-06-26,555.0,no,weekday,weekday
176,2013-06-27,352.0,no,weekday,weekday
177,2013-06-28,374.0,no,weekday,weekday
178,2013-06-29,489.0,no,weekend,weekend
179,2013-06-30,669.0,no,weekend,weekend
180,2013-07-01,422.0,no,weekday,weekday
181,2013-07-02,421.0,no,weekday,weekday
182,2013-07-03,510.0,no,weekday,weekday
183,2013-07-04,463.0,no,weekday,weekday
184,2013-07-05,439.0,no,weekday,weekday
185,2013-07-06,590.0,no,weekend,weekend
186,2013-07-07,665.0,no,weekend,weekend
187,2013-07-08,265.0,no,weekday,weekday
188,2013-07-09,393.0,no,weekday,weekday
189,2013-07-10,550.0,no,weekday,weekday
190,2013-07-11,262.0,no,weekday,weekday
191,2013-07-12,397.0,no,weekday,weekday
192,2013-07-13,466.0,no,weekend,weekend
193,2013-07-14,449.0,no,weekend,weekend
194,2013-07-15,484.0,no,weekday,weekday
195,2013-07-16,443.0,no,weekday,weekday
196,2013-07-17,469.0,no,weekday,weekday
197,2013-07-18,292.0,no,weekday,weekday
198,2013-07-19,278.0,no,weekday,weekday
199,2013-07-20,605.0,no,weekend,weekend
200,2013-07-21,817.0,no,weekend,weekend
201,2013-07-22,295.0,no,weekday,weekday
202,2013-07-23,470.0,no,weekday,weekday
203,2013-07-24,431.0,no,weekday,weekday
204,2013-07-25,282.0,no,weekday,weekday
205,2013-07-26,596.0,no,weekday,weekday
206,2013-07-27,548.0,no,weekend,weekend
207,2013-07-28,700.0,no,weekend,weekend
208,2013-07-29,414.0,no,weekday,weekday
209,2013-07-30,353.0,no,weekday,weekday
210,2013-07-31,570.0,no,weekday,weekday
211,2013-08-01,462.0,no,weekday,weekday
212,2013-08-02,464.0,no,weekday,weekday
213,2013-08-03,657.0,no,weekend,weekend
214,2013-08-04,681.0,no,weekend,weekend
215,2013-08-05,461.0,no,weekday,weekday
216,2013-08-06,328.0,no,weekday,weekday
217,2013-08-07,403.0,no,weekday,weekday
218,2013-08-08,360.0,no,weekday,weekday
219,2013-08-09,347.0,no,weekday,weekday
220,2013-08-10,570.0,yes!,weekend,holiday (weekend)
221,2013-08-11,662.0,no,weekend,weekend
222,2013-08-12,423.0,no,weekday,weekday
223,2013-08-13,405.0,no,weekday,weekday
224,2013-08-14,454.0,no,weekday,weekday
225,2013-08-15,339.0,no,weekday,weekday
226,2013-08-16,469.0,no,weekday,weekday
227,2013-08-17,495.0,no,weekend,weekend
228,2013-08-18,681.0,no,weekend,weekend
229,2013-08-19,376.0,no,weekday,weekday
230,2013-08-20,338.0,no,weekday,weekday
231,2013-08-21,330.0,no,weekday,weekday
232,2013-08-22,358.0,no,weekday,weekday
233,2013-08-23,347.0,no,weekday,weekday
234,2013-08-24,644.0,no,weekend,weekend
235,2013-08-25,813.0,no,weekend,weekend
236,2013-08-26,636.0,no,weekday,weekday
237,2013-08-27,386.0,no,weekday,weekday
238,2013-08-28,613.0,no,weekday,weekday
239,2013-08-29,432.0,no,weekday,weekday
240,2013-08-30,410.0,no,weekday,weekday
241,2013-08-31,493.0,no,weekend,weekend
242,2013-09-01,711.0,no,weekend,weekend
243,2013-09-02,583.0,no,weekday,weekday
244,2013-09-03,345.0,no,weekday,weekday
245,2013-09-04,670.0,no,weekday,weekday
246,2013-09-05,331.0,no,weekday,weekday
247,2013-09-06,415.0,no,weekday,weekday
248,2013-09-07,791.0,no,weekend,weekend
249,2013-09-08,786.0,no,weekend,weekend
250,2013-09-09,541.0,no,weekday,weekday
251,2013-09-10,342.0,no,weekday,weekday
252,2013-09-11,435.0,no,weekday,weekday
253,2013-09-12,621.0,no,weekday,weekday
254,2013-09-13,323.0,no,weekday,weekday
255,2013-09-14,632.0,no,weekend,weekend
256,2013-09-15,710.0,no,weekend,weekend
257,2013-09-16,524.0,no,weekday,weekday
258,2013-09-17,314.0,no,weekday,weekday
259,2013-09-18,414.0,no,weekday,weekday
260,2013-09-19,372.0,no,weekday,weekday
261,2013-09-20,346.0,no,weekday,weekday
262,2013-09-21,726.0,no,weekend,weekend
263,2013-09-22,866.0,no,weekend,weekend
264,2013-09-23,516.0,no,weekday,weekday
265,2013-09-24,306.0,no,weekday,weekday
266,2013-09-25,486.0,no,weekday,weekday
267,2013-09-26,428.0,no,weekday,weekday
268,2013-09-27,370.0,no,weekday,weekday
269,2013-09-28,609.0,no,weekend,weekend
270,2013-09-29,764.0,no,weekend,weekend
271,2013-09-30,416.0,no,weekday,weekday
272,2013-10-01,336.0,no,weekday,weekday
273,2013-10-02,407.0,no,weekday,weekday
274,2013-10-03,303.0,no,weekday,weekday
275,2013-10-04,550.0,no,weekday,weekday
276,2013-10-05,678.0,no,weekend,weekend
277,2013-10-06,719.0,no,weekend,weekend
278,2013-10-07,515.0,no,weekday,weekday
279,2013-10-08,346.0,no,weekday,weekday
280,2013-10-09,601.0,yes!,weekday,holiday (weekday)
281,2013-10-10,277.0,no,weekday,weekday
282,2013-10-11,221.0,yes!,weekday,holiday (weekday)
283,2013-10-12,558.0,no,weekend,weekend
284,2013-10-13,485.0,no,weekend,weekend
285,2013-10-14,276.0,no,weekday,weekday
286,2013-10-15,345.0,no,weekday,weekday
287,2013-10-16,396.0,no,weekday,weekday
288,2013-10-17,329.0,no,weekday,weekday
289,2013-10-18,427.0,no,weekday,weekday
290,2013-10-19,737.0,no,weekend,weekend
291,2013-10-20,904.0,no,weekend,weekend
292,2013-10-21,394.0,no,weekday,weekday
293,2013-10-22,351.0,no,weekday,weekday
294,2013-10-23,310.0,no,weekday,weekday
295,2013-10-24,384.0,no,weekday,weekday
296,2013-10-25,297.0,no,weekday,weekday
297,2013-10-26,531.0,no,weekend,weekend
298,2013-10-27,801.0,no,weekend,weekend
299,2013-10-28,297.0,no,weekday,weekday
300,2013-10-29,352.0,no,weekday,weekday
301,2013-10-30,497.0,no,weekday,weekday
302,2013-10-31,224.0,no,weekday,weekday
303,2013-11-01,375.0,no,weekday,weekday
304,2013-11-02,549.0,yes!,weekend,holiday (weekend)
305,2013-11-03,860.0,yes!,weekend,holiday (weekend)
306,2013-11-04,406.0,no,weekday,weekday
307,2013-11-05,475.0,no,weekday,weekday
308,2013-11-06,295.0,no,weekday,weekday
309,2013-11-07,389.0,no,weekday,weekday
310,2013-11-08,379.0,no,weekday,weekday
311,2013-11-09,644.0,no,weekend,weekend
312,2013-11-10,695.0,no,weekend,weekend
313,2013-11-11,612.0,no,weekday,weekday
314,2013-11-12,314.0,no,weekday,weekday
315,2013-11-13,343.0,no,weekday,weekday
316,2013-11-14,295.0,no,weekday,weekday
317,2013-11-15,400.0,no,weekday,weekday
318,2013-11-16,683.0,no,weekend,weekend
319,2013-11-17,921.0,no,weekend,weekend
320,2013-11-18,447.0,no,weekday,weekday
321,2013-11-19,401.0,no,weekday,weekday
322,2013-11-20,481.0,no,weekday,weekday
323,2013-11-21,199.0,no,weekday,weekday
324,2013-11-22,419.0,no,weekday,weekday
325,2013-11-23,519.0,no,weekend,weekend
326,2013-11-24,702.0,no,weekend,weekend
327,2013-11-25,282.0,no,weekday,weekday
328,2013-11-26,274.0,no,weekday,weekday
329,2013-11-27,474.0,no,weekday,weekday
330,2013-11-28,258.0,no,weekday,weekday
331,2013-11-29,363.0,no,weekday,weekday
332,2013-11-30,726.0,no,weekend,weekend
333,2013-12-01,736.0,no,weekend,weekend
334,2013-12-02,421.0,no,weekday,weekday
335,2013-12-03,493.0,no,weekday,weekday
336,2013-12-04,454.0,no,weekday,weekday
337,2013-12-05,265.0,no,weekday,weekday
338,2013-12-06,388.0,no,weekday,weekday
339,2013-12-07,504.0,no,weekend,weekend
340,2013-12-08,477.0,no,weekend,weekend
341,2013-12-09,378.0,no,weekday,weekday
342,2013-12-10,330.0,no,weekday,weekday
343,2013-12-11,508.0,no,weekday,weekday
344,2013-12-12,502.0,no,weekday,weekday
345,2013-12-13,367.0,no,weekday,weekday
346,2013-12-14,547.0,no,weekend,weekend
347,2013-12-15,621.0,no,weekend,weekend
348,2013-12-16,322.0,no,weekday,weekday
349,2013-12-17,496.0,no,weekday,weekday
350,2013-12-18,532.0,no,weekday,weekday
351,2013-12-19,455.0,no,weekday,weekday
352,2013-12-20,441.0,no,weekday,weekday
353,2013-12-21,630.0,yes!,weekend,holiday (weekend)
354,2013-12-22,985.0,yes!,weekend,holiday (weekend)
355,2013-12-23,523.0,yes!,weekday,holiday (weekday)
356,2013-12-24,365.0,yes!,weekday,holiday (weekday)
357,2013-12-25,365.0,yes!,weekday,holiday (weekday)
358,2013-12-26,418.0,yes!,weekday,holiday (weekday)
359,2013-12-27,419.0,no,weekday,weekday
360,2013-12-28,499.0,no,weekend,weekend
361,2013-12-29,552.0,no,weekend,weekend
362,2013-12-30,595.0,no,weekday,weekday
363,2013-12-31,436.0,yes!,weekday,holiday (weekday)
364,2014-01-01,436.0,yes!,weekday,holiday (weekday)
365,2014-01-02,589.0,no,weekday,weekday
366,2014-01-03,474.0,no,weekday,weekday
367,2014-01-04,767.0,no,weekend,weekend
368,2014-01-05,1203.0,no,weekend,weekend
369,2014-01-06,399.0,no,weekday,weekday
370,2014-01-07,498.0,no,weekday,weekday
371,2014-01-08,561.0,no,weekday,weekday
372,2014-01-09,239.0,no,weekday,weekday
373,2014-01-10,438.0,no,weekday,weekday
374,2014-01-11,619.0,no,weekend,weekend
375,2014-01-12,533.0,no,weekend,weekend
376,2014-01-13,443.0,no,weekday,weekday
377,2014-01-14,440.0,no,weekday,weekday
378,2014-01-15,360.0,no,weekday,weekday
379,2014-01-16,1168.0,no,weekday,weekday
380,2014-01-17,506.0,no,weekday,weekday
381,2014-01-18,720.0,no,weekend,weekend
382,2014-01-19,561.0,no,weekend,weekend
383,2014-01-20,391.0,no,weekday,weekday
384,2014-01-21,421.0,no,weekday,weekday
385,2014-01-22,519.0,no,weekday,weekday
386,2014-01-23,231.0,no,weekday,weekday
387,2014-01-24,263.0,no,weekday,weekday
388,2014-01-25,789.0,no,weekend,weekend
389,2014-01-26,698.0,no,weekend,weekend
390,2014-01-27,310.0,no,weekday,weekday
391,2014-01-28,332.0,no,weekday,weekday
392,2014-01-29,405.0,no,weekday,weekday
393,2014-01-30,323.0,no,weekday,weekday
394,2014-01-31,456.0,no,weekday,weekday
395,2014-02-01,732.0,no,weekend,weekend
396,2014-02-02,704.0,no,weekend,weekend
397,2014-02-03,395.0,no,weekday,weekday
398,2014-02-04,313.0,no,weekday,weekday
399,2014-02-05,463.0,no,weekday,weekday
400,2014-02-06,301.0,no,weekday,weekday
401,2014-02-07,289.0,no,weekday,weekday
402,2014-02-08,678.0,no,weekend,weekend
403,2014-02-09,731.0,no,weekend,weekend
404,2014-02-10,370.0,no,weekday,weekday
405,2014-02-11,440.0,no,weekday,weekday
406,2014-02-12,409.0,no,weekday,weekday
407,2014-02-13,310.0,no,weekday,weekday
408,2014-02-14,258.0,no,weekday,weekday
409,2014-02-15,650.0,no,weekend,weekend
410,2014-02-16,583.0,no,weekend,weekend
411,2014-02-17,506.0,no,weekday,weekday
412,2014-02-18,506.0,no,weekday,weekday
413,2014-02-19,392.0,no,weekday,weekday
414,2014-02-20,296.0,no,weekday,weekday
415,2014-02-21,393.0,no,weekday,weekday
416,2014-02-22,809.0,no,weekend,weekend
417,2014-02-23,714.0,no,weekend,weekend
418,2014-02-24,338.0,no,weekday,weekday
419,2014-02-25,453.0,no,weekday,weekday
420,2014-02-26,388.0,no,weekday,weekday
421,2014-02-27,587.0,no,weekday,weekday
422,2014-02-28,346.0,no,weekday,weekday
423,2014-03-01,714.0,no,weekend,weekend
424,2014-03-02,410.0,no,weekend,weekend
425,2014-03-03,408.0,yes!,weekday,holiday (weekday)
426,2014-03-04,648.0,yes!,weekday,holiday (weekday)
427,2014-03-05,367.0,no,weekday,weekday
428,2014-03-06,492.0,no,weekday,weekday
429,2014-03-07,410.0,no,weekday,weekday
430,2014-03-08,572.0,no,weekend,weekend
431,2014-03-09,731.0,no,weekend,weekend
432,2014-03-10,437.0,no,weekday,weekday
433,2014-03-11,509.0,no,weekday,weekday
434,2014-03-12,317.0,no,weekday,weekday
435,2014-03-13,254.0,no,weekday,weekday
436,2014-03-14,243.0,no,weekday,weekday
437,2014-03-15,535.0,no,weekend,weekend
438,2014-03-16,726.0,no,weekend,weekend
439,2014-03-17,285.0,no,weekday,weekday
440,2014-03-18,353.0,no,weekday,weekday
441,2014-03-19,346.0,no,weekday,weekday
442,2014-03-20,139.0,no,weekday,weekday
443,2014-03-21,456.0,no,weekday,weekday
444,2014-03-22,567.0,no,weekend,weekend
445,2014-03-23,603.0,no,weekend,weekend
446,2014-03-24,371.0,no,weekday,weekday
447,2014-03-25,392.0,no,weekday,weekday
448,2014-03-26,432.0,no,weekday,weekday
449,2014-03-27,328.0,no,weekday,weekday
450,2014-03-28,523.0,no,weekday,weekday
451,2014-03-29,647.0,no,weekend,weekend
452,2014-03-30,599.0,no,weekend,weekend
453,2014-03-31,415.0,no,weekday,weekday
